Station;Replicate;Salinity;Acclimation_h;Oxygen_uL/h;Oxygen_umol/h;Individuals;Sex;Month;Measurement_date
WH;1;5;16;0.1226843;0.005163464;2;female;7;2024-07-16
WH;2;5;16;0.1776295;0.007475964;2;female;7;2024-07-16
WH;3;5;16;0.07705937;0.003243228;2;female;7;2024-07-16
WH;4;5;16;0.1076086;0.004528966;2;female;7;2024-07-16
WH;5;5;16;0.1099683;0.004628278;2;female;7;2024-07-16
WH;6;5;16;0.194703;0.008194543;2;female;7;2024-07-16
WH;7;5;16;0.08603134;0.003620835;2;female;7;2024-07-16
WH;8;5;16;0.1167539;0.00491387;2;female;7;2024-07-16
SW08;1;5;16;0.1898781;0.007991477;2;female;7;2024-07-16
SW08;2;5;16;0.0971529;0.006691398;2;female;7;2024-07-16
SW08;3;5;16;0.1306253;0.008996808;2;female;7;2024-07-16
SW08;4;5;16;0.1786183;0.007517579;2;female;7;2024-07-16
SW08;5;5;16;0.3332612;0.0140261;2;female;7;2024-07-16
SW08;6;5;16;0.3876785;0.01631638;2;female;7;2024-07-16
SW08;7;5;16;0.2444537;0.01028842;2;female;7;2024-07-16
SW08;8;5;16;0.1932291;0.008132512;2;female;7;2024-07-16
WH;1;15;16;0.07608394;0.003202175;2;female;7;2024-07-16
WH;2;15;16;0.1050873;0.00442285;2;female;7;2024-07-16
WH;3;15;16;0.153978;0.006480535;2;female;7;2024-07-16
WH;4;15;16;0.1389973;0.005850034;2;female;7;2024-07-16
WH;5;15;16;0.09709927;0.004086656;2;female;7;2024-07-16
WH;6;15;16;0.1235101;0.005198219;2;female;7;2024-07-16
WH;7;15;16;0.07190299;0.00302621;2;female;7;2024-07-16
WH;8;15;16;0.115296;0.004849294;2;female;7;2024-07-16
SW08;1;15;16;0.2430458;0.01022917;2;female;7;2024-07-16
SW08;2;15;16;0.2469392;0.01039303;2;female;7;2024-07-16
SW08;3;15;16;0.2216361;0.009328087;2;female;7;2024-07-16
SW08;4;15;16;0.3215376;0.01353268;2;female;7;2024-07-16
SW08;5;15;16;0.2710255;0.01140676;2;female;7;2024-07-16
SW08;6;15;16;0.2816906;0.01185562;2;female;7;2024-07-16
SW08;7;15;16;0.1601533;0.006740438;2;female;7;2024-07-16
SW08;8;15;16;0.2069379;0.008709476;2;female;7;2024-07-16
