Station;Replicate;Treatment_PSU;Acclimation_h;Oxygen_uL/h;Oxygen_umol/h;Individuals;Sex;Month;Measurement_date
SW08;1;3;2;0.1703119;0.007217765;1;female;1;2025-01-21
SW08;2;3;2;0.5422846;0.02298186;2;female;1;2025-01-21
SW08;3;3;2;0.2129389;0.009024287;2;female;1;2025-01-21
SW08;4;3;2;0.4224798;0.01790457;2;female;1;2025-01-21
SW08;6;3;2;0.3764614;0.01595432;2;female;1;2025-01-21
SW08;7;3;2;0.2700059;0.01144277;2;female;1;2025-01-21
SW08;8;3;2;0.242702;0.01028564;2;female;1;2025-01-21
WH;1;3;2;0.442575;0.01875619;2;female;1;2025-01-21
WH;2;3;2;0.1349338;0.005718452;2;female;1;2025-01-21
WH;3;3;2;0.3964552;0.01680165;2;female;1;2025-01-21
WH;4;3;2;0.3762866;0.01594691;2;female;1;2025-01-21
WH;5;3;2;0.3157993;0.01338348;2;female;1;2025-01-21
WH;6;3;2;0.257287;0.01090375;2;female;1;2025-01-21
WH;7;3;2;0.2771712;0.01174643;2;female;1;2025-01-21
WH;8;3;2;0.3427659;0.01452632;2;female;1;2025-01-21
SW08;1;2;2;0.3339685;0.01416743;2;female;1;2025-01-21
SW08;2;2;2;0.3494152;0.0148227;2;female;1;2025-01-21
SW08;3;2;2;0.3742755;0.01587731;2;female;1;2025-01-21
SW08;4;2;2;0.2115229;0.008973108;2;female;1;2025-01-21
SW08;5;2;2;0.3198867;0.01357006;2;female;1;2025-01-21
SW08;6;2;2;0.2999574;0.01272463;2;female;1;2025-01-21
SW08;7;2;2;0.3232026;0.01371072;2;female;1;2025-01-21
SW08;8;2;2;0.3263377;0.01384372;2;female;1;2025-01-21
WH;1;2;2;0.424402;0.01800375;2;female;1;2025-01-21
WH;2;2;2;0.1940684;0.008232663;2;female;1;2025-01-21
WH;3;2;2;0.2486129;0.01054652;2;female;1;2025-01-21
WH;4;2;2;0.5232778;0.02219799;2;female;1;2025-01-21
WH;5;2;2;0.4011808;0.01701867;2;female;1;2025-01-21
WH;6;2;2;0.408257;0.0173171;2;female;1;2025-01-21
WH;7;2;2;0.3239767;0.01374356;2;female;1;2025-01-21
WH;8;2;2;0.297101;0.01260346;2;female;1;2025-01-21
SW08;1;5;2;0.4231992;0.01782902;2;female;1;2025-01-22
SW08;2;5;2;0.4814739;0.02028409;2;female;1;2025-01-22
SW08;3;5;2;0.3569962;0.01503995;2;female;1;2025-01-22
SW08;4;5;2;0.5943487;0.02503941;2;female;1;2025-01-22
SW08;5;5;2;0.4995427;0.02104531;2;female;1;2025-01-22
SW08;6;5;2;0.3841088;0.01618218;2;female;1;2025-01-22
SW08;7;5;2;0.3811444;0.01605729;2;female;1;2025-01-22
SW08;8;5;2;0.3725441;0.01569497;2;female;1;2025-01-22
WH;1;5;2;0.54197;0.02283274;2;female;1;2025-01-22
WH;2;5;2;0.3827398;0.0161245;2;female;1;2025-01-22
WH;3;5;2;0.7986305;0.03364563;2;female;1;2025-01-22
WH;4;5;2;0.4023715;0.01695157;2;female;1;2025-01-22
WH;5;5;2;0.3759586;0.01583882;2;female;1;2025-01-22
WH;6;5;2;0.4680506;0.01971858;2;female;1;2025-01-22
WH;7;5;2;0.4732582;0.01993797;2;female;1;2025-01-22
WH;8;5;2;0.4431211;0.01866832;2;female;1;2025-01-22
SW08;1;10;2;0.4935189;0.02079154;2;female;1;2025-01-22
SW08;2;10;2;0.2356318;0.00992697;1;female;1;2025-01-22
SW08;3;10;2;0.2812459;0.01184865;1;female;1;2025-01-22
SW08;4;10;2;0.7292532;0.03072282;2;female;1;2025-01-22
SW08;5;10;2;0.5054861;0.0212957;2;female;1;2025-01-22
SW08;6;10;2;0.5576113;0.02349169;2;female;1;2025-01-22
SW08;7;10;2;0.5459818;0.02300175;2;female;1;2025-01-22
SW08;8;10;2;0.4659071;0.01962827;2;female;1;2025-01-22
WH;1;10;2;0.4620975;0.01946778;2;female;1;2025-01-22
WH;2;10;2;0.4001793;0.01685922;2;female;1;2025-01-22
WH;3;10;2;0.5059678;0.021316;2;female;1;2025-01-22
WH;4;10;2;0.4730006;0.01992712;2;female;1;2025-01-22
WH;5;10;2;0.778226;0.032786;2;female;1;2025-01-22
WH;6;10;2;0.6502913;0.02739622;2;female;1;2025-01-22
WH;7;10;2;0.1869248;0.007874985;2;female;1;2025-01-22
WH;8;10;2;0.2585937;0.01089433;2;female;1;2025-01-22
