Station;Assay_start;Treatment_sal;Food_concentration;Volume;Replicate;Day;Nauplii_t0;Nauplii;Copepodites_1-3;Copepodites_4-5;Adults;survived;survived_fraction;comments;females;males
SW08;2024-04-19;15;500;200;1;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;15;500;200;2;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;15;500;200;3;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;15;500;200;4;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;7;500;200;1;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;7;500;200;2;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;7;500;200;3;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;7;500;200;4;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;15;500;200;1;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;15;500;200;2;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;15;500;200;3;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;15;500;200;4;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;7;500;200;1;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;7;500;200;2;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;7;500;200;3;0;20;20;0;0;0;20;1;;NA;NA
WH;2024-04-19;7;500;200;4;0;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;15;500;200;1;3;20;20;0;0;0;20;1;;NA;NA
SW08;2024-04-19;15;500;200;2;3;20;19;0;0;0;19;0,95;;NA;NA
SW08;2024-04-19;15;500;200;3;3;20;19;0;0;0;19;0,95;;NA;NA
SW08;2024-04-19;15;500;200;4;3;20;17;0;0;0;17;0,85;;NA;NA
SW08;2024-04-19;7;500;200;1;3;20;16;0;0;0;16;0,8;;NA;NA
SW08;2024-04-19;7;500;200;2;3;20;14;0;0;0;14;0,7;;NA;NA
SW08;2024-04-19;7;500;200;3;3;20;16;0;0;0;16;0,8;;NA;NA
SW08;2024-04-19;7;500;200;4;3;20;16;0;0;0;16;0,8;;NA;NA
WH;2024-04-19;15;500;200;1;3;20;18;0;0;0;18;0,9;;NA;NA
WH;2024-04-19;15;500;200;2;3;20;19;0;0;0;19;0,95;;NA;NA
WH;2024-04-19;15;500;200;3;3;20;18;0;0;0;18;0,9;;NA;NA
WH;2024-04-19;15;500;200;4;3;20;16;0;0;0;16;0,8;;NA;NA
